순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
167,유연성이 향상된 주파수 선택표면,특허,대한민국,2021-10-15,10-2021-0137874,2023-07-31,10-2563275
168,빔 정렬 장치,특허,대한민국,2023-01-12,10-2023-0004828,2023-07-31,10-2562981
169,구동기용 부하모의장치,특허,대한민국,2021-04-01,10-2021-0042797,2023-07-28,10-2562497
170,스크린 프린팅을 이용한 전자파흡수용 허니콤 복합재 구조체 제조방법 및 그 제조방법으로 제조된 허니콤 복합재 구조체,특허,대한민국,2023-02-14,10-2023-0019154,2023-07-28,10-2562499
171,운동체의 파이프 이탈 감지를 위한 스위치 장치 및 파이프 이탈 감지 가능한 운동체,특허,대한민국,2021-07-02,10-2021-0086958,2023-07-27,10-2562155
172,두절된 데이터 링크의 자동 복구 방법,특허,대한민국,2022-12-14,10-2022-0175003,2023-07-26,10-2561792
173,차원 분할 3차원 근전계-원전계 레이더 단면적 변환 방법,특허,대한민국,2020-12-16,10-2020-0176620,2023-07-25,10-2561279
174,이종 메모리 간의 메모리 스왑을 관리하는 전자 장치 및 이의 메모리 관리 방법,특허,대한민국,2021-04-09,10-2021-0046600,2023-07-21,10-2559784
175,이득 정보 및 출력 레벨 정보를 제공하는 전자 장치의 동작 방법 및 이를 지원하는 전자 장치,특허,대한민국,2022-02-10,10-2022-0017638,2023-07-21,10-2560108
176,스케줄링 방법 및 장치,특허,대한민국,2021-06-01,10-2021-0071066,2023-07-20,10-2559658
177,"적대적 생성 신경망 분석 방법, 적대적 생성 신경망 분석 장치 및 상기 방법을 실행시키기 위하여 기록매체에 저장된 컴퓨터 프로그램",특허,대한민국,2022-12-01,10-2022-0165964,2023-07-20,10-2559536
178,무인 항공기의 제어를 위한 학습 방법 및 이를 수행하는 전자 장치,특허,대한민국,2022-12-09,10-2022-0171515,2023-07-20,10-2559608
179,열전지용 관성식 착화장치,특허,대한민국,2021-03-10,10-2021-0031100,2023-07-18,10-2558149
180,레인지 도플러 알고리즘 기반 SAR 영상 형성 장치 및 방법,특허,대한민국,2021-10-14,10-2021-0136869,2023-07-18,10-2558544
181,둔감형 탄두,특허,대한민국,2022-11-11,10-2022-0150524,2023-07-18,10-2558313
182,고온 환경용 전파 흡수체 제조 시스템,특허,대한민국,2023-01-30,10-2023-0011592,2023-07-18,10-2558275
183,전자전 시뮬레이션을 수행하기 위한 장치 및 방법,특허,대한민국,2021-07-30,10-2021-0101019,2023-07-14,10-2557361
